Plane 1; Type_plane 1;Estela 1;Clasification 1;SID 1;Time_1;Plane 2; Type_plane 2; Estela 2; Clasification 2; SID 2; Time_2; Interval time (s); Delta_U (NM); Delta_V (NM); Distance_between (NM); Minima_radar; Minima_Estela; Minima_LoA; Radar Condition; Estela Condition; LoA Condition
VLG2PF  ;A320;Media;R;Misma_SID_G3;15021;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15022;1;4,00642204775547;0,211829409471463;4,01201811105809;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15025;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15025;0;4,09019356641898;0,2731478613302;4,09930398542539;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15029;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15029;0;4,1789987386118;0,345375368852512;4,19324630837839;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15033;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15033;0;4,25472026971037;0,384601992289626;4,27206779744393;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15037;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15037;0;4,32608827786109;0,40173424369921;4,3447013925479;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15041;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15041;0;4,39998601190691;0,423402611823921;4,42031069911107;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15045;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15045;0;4,46397875286715;0,437631724626373;4,48537934097539;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15049;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15049;0;4,52629500768928;0,450898530210175;4,54869827326221;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15053;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15053;0;4,5854940231545;0,464564462909967;4,60896686650972;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15057;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15057;0;4,64247362445424;0,477172349062291;4,66693205483677;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15061;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15061;0;4,69624765703336;0,491477754299952;4,72189500509732;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15065;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15065;0;4,7460084976341;0,505269125673006;4,77282867375035;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15069;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15069;0;4,79235695989701;0,518945528112525;4,82037236032875;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15073;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15073;0;4,83880745636739;0,532998206647871;4,86807402245349;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15077;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15077;0;4,87764003731685;0,547151183057055;4,90823254856135;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15081;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15081;0;4,9135956456898;0,562196009748213;4,94565329584662;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15085;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15085;0;4,93810113933127;0,573098868805694;4,97124583738233;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15089;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15089;0;4,97565190097697;0,586981515288558;5,01015560027692;3.0;0;3;True; True ;True
VLG2PF  ;A320;Media;R;Misma_SID_G3;15093;TAP39ZL ;A21N;Media;R;Misma_SID_G2;15093;0;5,0064432969318;0,598188401701272;5,04205353495213;3.0;0;3;True; True ;True
TAP39ZL ;A21N;Media;R;Misma_SID_G2;15141;RYR2ZW  ;B738;Media;R;Misma_SID_G3;15142;1;6,58767662742805;0,65212558580747;6,61987546161002;3.0;0;3;True; True ;True
TAP39ZL ;A21N;Media;R;Misma_SID_G2;15145;RYR2ZW  ;B738;Media;R;Misma_SID_G3;15146;1;6,68767279713606;0,752471339560202;6,72987225424177;3.0;0;3;True; True ;True
