Plane 1; Type_plane 1;Estela 1;Clasification 1;SID 1;Time_1;Plane 2; Type_plane 2; Estela 2; Clasification 2; SID 2; Time_2; Interval time (s); Delta_U (NM); Delta_V (NM); Distance_between (NM); Minima_radar; Minima_Estela; Minima_LoA; Radar Condition; Estela Condition; LoA Condition
VLG3CP  ;A320;Media;R;Misma_SID_G3;72146;WMT424  ;A320;Media;R;Misma_SID_G3;72147;1;1,00214160473152;7,46648663309549;7,5333893910499;3.0;N/A;5;True; N/A ;True
VLG3CP  ;A320;Media;R;Misma_SID_G3;72150;WMT424  ;A320;Media;R;Misma_SID_G3;72151;1;0,872892316263165;7,67266176650198;7,72210537358466;3.0;N/A;5;True; N/A ;True
VLG3CP  ;A320;Media;R;Misma_SID_G3;72154;WMT424  ;A320;Media;R;Misma_SID_G3;72155;1;0,736984367670534;7,87692858696558;7,91128111442726;3.0;N/A;5;True; N/A ;True
VLG3CP  ;A320;Media;R;Misma_SID_G3;72158;WMT424  ;A320;Media;R;Misma_SID_G3;72159;1;0,60822192083554;8,07474026751825;8,09756574253766;3.0;N/A;5;True; N/A ;True
RYR33JW ;B738;Media;R;Misma_SID_G1;72434;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72435;1;0,998852572201891;3,73959051903156;3,87065981203939;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72438;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72439;1;0,903339798998761;3,85147962175652;3,955967579588;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72442;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72443;1;0,825720978362309;3,94274819047537;4,02825504307513;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72446;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72447;1;0,775227870761945;4,01395623074692;4,0881026107243;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72450;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72451;1;0,736625174551872;4,0832126196843;4,14909643558499;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72454;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72455;1;0,735261788096379;4,1255789299697;4,19055741310666;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72458;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72459;1;0,769177349875976;4,15904913736134;4,2295489215573;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72462;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72463;1;0,879843420863635;4,16527191658325;4,25715587828218;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72466;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72467;1;1,03526105277867;4,12903267605203;4,25681118552944;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72470;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72471;1;1,21015066981375;4,06577651608054;4,24202463750345;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72474;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72475;1;1,41122753150685;3,96652709245914;4,2100683344561;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72478;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72479;1;1,6256941878125;3,8511952211579;4,18023513961668;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72482;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72482;0;1,83874557028618;3,71787695863583;4,14769554392368;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72486;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72486;0;2,0529773306958;3,58841767104358;4,13415578906691;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72490;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72490;0;2,26862276713235;3,45818818356428;4,13588005572844;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72494;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72494;0;2,48326594541635;3,33235306307863;4,15583645787642;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72498;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72498;0;2,69594157116386;3,20680570819559;4,18945037936145;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72503;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72502;-1;2,90846955694061;3,089201336605;4,24289415990579;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72507;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72506;-1;3,11586612868646;2,97223256036929;4,30610943553103;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72511;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72510;-1;3,32375927964845;2,86119258994275;4,38561141050237;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72515;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72514;-1;3,52931270440057;2,75319181986318;4,47614779353062;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72519;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72518;-1;3,7327486558907;2,64395818789895;4,57424415762411;3.0;N/A;5;True; N/A ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72519;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72522;3;3,67807158136144;2,43003372293102;4,40829616125675;3.0;N/A;5;True; N/A ;False
VLG4LJ  ;A320;Media;R;Misma_SID_G1;72518;BCS8031 ;B752;Pesada;R;Misma_SID_G3;72519;1;1,03368476770548;3,84505588865474;3,98154735900065;3.0;N/A;3;True; N/A ;True
VLG4LJ  ;A320;Media;R;Misma_SID_G1;72522;BCS8031 ;B752;Pesada;R;Misma_SID_G3;72523;1;0,980446906692958;3,91632717295711;4,03715929194412;3.0;N/A;3;True; N/A ;True
VLG4LJ  ;A320;Media;R;Misma_SID_G1;72526;BCS8031 ;B752;Pesada;R;Misma_SID_G3;72527;1;0,957347159904568;3,97482026269427;4,08845573086694;3.0;N/A;3;True; N/A ;True
VLG4LJ  ;A320;Media;R;Misma_SID_G1;72530;BCS8031 ;B752;Pesada;R;Misma_SID_G3;72531;1;0,976875461590424;4,02790303252168;4,14464082608371;3.0;N/A;3;True; N/A ;True
VLG4LJ  ;A320;Media;R;Misma_SID_G1;72534;BCS8031 ;B752;Pesada;R;Misma_SID_G3;72535;1;1,0294231802352;4,07120075724519;4,19930283280517;3.0;N/A;3;True; N/A ;True
VLG4LJ  ;A320;Media;R;Misma_SID_G1;72538;BCS8031 ;B752;Pesada;R;Misma_SID_G3;72539;1;1,12494494827128;4,11272711616088;4,26377502523473;3.0;N/A;3;True; N/A ;True
VLG4LJ  ;A320;Media;R;Misma_SID_G1;72542;BCS8031 ;B752;Pesada;R;Misma_SID_G3;72542;0;1,24664783287309;4,15440087248502;4,33738668006992;3.0;N/A;3;True; N/A ;True
VLG4LJ  ;A320;Media;R;Misma_SID_G1;72546;BCS8031 ;B752;Pesada;R;Misma_SID_G3;72546;0;1,3968827949143;4,20092582401152;4,42705275902178;3.0;N/A;3;True; N/A ;True
